Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22p,C_0805_2012Metric,-32.54375,38.1,45,bottom
C2,22p,C_0805_2012Metric,-32.54375,41.946751,-45,bottom
C3,1uf,C_0805_2012Metric,-20.024624,47.561676,90,bottom
C4,10uF,C_0805_2012Metric,-42.863855,56.260984,0,bottom
C5,0.1uf,C_0805_2012Metric,-24.670031,34.564072,-45,bottom
C6,0.1uf,C_0805_2012Metric,-26.159125,44.160628,0,bottom
C7,0.1uf,C_0805_2012Metric,-13.931007,36.905039,90,bottom
C8,0.1uf,C_0805_2012Metric,-12.809224,43.400942,180,bottom
C9,4.7uF,C_0805_2012Metric,-44.61383,73.005,90,bottom
C10,2.2uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,-115.09375,57.15,180,bottom
D_SPACE1,D,D_SOD-123,-12.627344,65.88125,90,bottom
D_SPACE2,D,D_SOD-123,-31.676797,65.88125,90,bottom
D_SPACE3,D,D_SOD-123,-50.72625,65.88125,90,bottom
D_SPACE4,D,D_SOD-123,-69.775703,65.88125,90,bottom
D_SPACE5,D,D_SOD-123,-88.825156,65.88125,90,bottom
D_SPACE6,D,D_SOD-123,-107.874609,65.88125,90,bottom
D_SPACE7,D,D_SOD-123,-126.924062,65.88125,90,bottom
D_SPACE8,D,D_SOD-123,-145.973515,65.88125,90,bottom
D_SPACE9,D,D_SOD-123,-165.022968,65.88125,90,bottom
D_SPACE10,D,D_SOD-123,-184.072421,65.88125,90,bottom
D_SPACE11,D,D_SOD-123,-203.121881,65.88125,90,bottom
D_SPACE12,D,D_SOD-123,-12.627344,46.83125,90,bottom
D_SPACE13,D,D_SOD-123,-31.676797,46.83125,90,bottom
D_SPACE14,D,D_SOD-123,-50.72625,46.83125,90,bottom
D_SPACE15,D,D_SOD-123,-69.775703,46.83125,90,bottom
D_SPACE16,D,D_SOD-123,-88.868752,46.83125,90,bottom
D_SPACE17,D,D_SOD-123,-107.91094,46.83125,90,bottom
D_SPACE18,D,D_SOD-123,-126.953128,46.83125,90,bottom
D_SPACE19,D,D_SOD-123,-145.995316,46.83125,90,bottom
D_SPACE20,D,D_SOD-123,-165.037504,46.83125,90,bottom
D_SPACE21,D,D_SOD-123,-184.079692,46.83125,90,bottom
D_SPACE22,D,D_SOD-123,-203.121881,46.83125,90,bottom
D_SPACE23,D,D_SOD-123,-17.400101,27.78125,90,bottom
D_SPACE24,D,D_SOD-123,-41.201797,27.78125,90,bottom
D_SPACE25,D,D_SOD-123,-60.25221,27.78125,90,bottom
D_SPACE26,D,D_SOD-123,-79.302623,27.78125,90,bottom
D_SPACE27,D,D_SOD-123,-98.353036,27.78125,90,bottom
D_SPACE29,D,D_SOD-123,-117.403449,27.78125,90,bottom
D_SPACE30,D,D_SOD-123,-136.453862,27.78125,90,bottom
D_SPACE31,D,D_SOD-123,-155.504275,27.78125,90,bottom
D_SPACE32,D,D_SOD-123,-174.554692,27.78125,90,bottom
D_SPACE33,D,D_SOD-123,-198.357849,27.78125,90,bottom
D_SPACE34,D,D_SOD-123,-47.625,8.73125,90,bottom
D_SPACE35,D,D_SOD-123,-71.4375,8.73125,90,bottom
D_SPACE36,D,D_SOD-123,-97.562308,8.73125,90,bottom
D_SPACE38,D,D_SOD-123,-128.5875,8.73125,90,bottom
D_SPACE39,D,D_SOD-123,-157.1625,8.73125,90,bottom
D_SPACE40,D,D_SOD-123,-178.59375,8.73125,90,bottom
F1,Polyfuse_Small,Fuse_1206_3216Metric_Pad1.42x1.75mm_HandSolder,-41.347735,59.882965,-90,bottom
J1,AVR-ISP-6,IDC-Header_2x03_P2.54mm_Vertical,-78.745,55.871394,90,bottom
R1,10k,R_0805_2012Metric,-50.942718,59.050001,180,bottom
R2,10k,R_0805_2012Metric,-13.49375,34.13125,0,bottom
SW1,SW_PUSH,SW_SPST_SKQG_WithoutStem,-57.150001,57.150001,0,bottom
U1,SRV05-4,SOT-23-6,-38.1,64.1375,0,bottom
U2,ATmega32U4-M,QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm_ThermalVias,-19.84375,40.48125,-90,bottom
UR1,22,R_0805_2012Metric,-19.585329,50.970448,-90,bottom
UR2,22,R_0805_2012Metric,-17.585329,50.970446,-90,bottom
UR3,5.1k,R_0805_2012Metric,-25.4,73.025,-90,bottom
UR4,5.1k,R_0805_2012Metric,-27.78125,73.025,-90,bottom
UR5,1M,R_0805_2012Metric,-46.99508,73.005,-90,bottom
UR6,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-115.09375,53.975,180,bottom
UR7,4.7k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-115.09375,62.70625,0,bottom
UR8,100k,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,-115.09375,60.325,0,bottom
USB1,HRO-TYPE-C-31-M-12,HRO-TYPE-C-31-M-12-HandSoldering,-38.1,78.007312,0,bottom
X1,Crystal_GND24_Small,Crystal_SMD_3225-4Pin_3.2x2.5mm_HandSoldering,-29.036364,40.30194,135,bottom
